name,lat,lng
Kharayib Umm al Lahim,31.840399,35.093398
Kharbata,31.944195,35.070575
Kharruba,31.913135,34.959784
Khirbat 'Abdallah Al Yunis,32.47679,35.113634
Khirbat 'Atuf,32.263202,35.438253
Khirbat Abu Falah,32.00798,35.304876
Khirbat ad Deir,31.655863,35.025614
Khirbat Al 'Umur,31.794002,35.099313
Khirbat Al Burj,32.319519,34.950188
Khirbat Al Damun,32.7331,35.022868
Khirbat Al Hiqab,32.926587,35.496922
Khirbat Al Jawfa,32.490498,35.435526
Khirbat Al Kasair,32.793594,35.138673
Khirbat Al Lawz,31.766651,35.112697
Khirbat Al Majdal,32.409193,34.994967
Khirbat Al Manara,32.644986,34.965071
Khirbat Al Manshiyya,32.394578,34.935351
Khirbat Al Mansura,32.675678,35.100521
Khirbat Al Marashan (Thabet),31.539609,34.661975
Khirbat Al Misbah,31.884297,35.067283
Khirbat Al Muntar,32.978385,35.588264
Khirbat Al Qubeiba,31.946046,34.944884
Khirbat Al Sarkas,32.4465,34.9596
Khirbat al Shuna,32.534896,34.948036
Khirbat Al Tannur,31.7153,35.0484
Khirbat Al Taqa,32.612177,35.536909
Khirbat Al Wa'ara Al Sawda,32.833843,35.480946
Khirbat Al Zababida,32.253983,34.838662
Khirbat Al Zawiya,32.597099,35.540579
Khirbat Bayt Far,31.800905,34.914869
Khirbat Bayt Lid,32.318013,34.893369
Khirbat Buwayra,31.873496,35.014871
Khirbat Humsa (Atuf),32.263225,35.437932
Khirbat Iribbin,33.081042,35.228352
Khirbat Ism Allah,31.783045,34.955352
Khirbat Jamrura,31.584267,34.979852
Khirbat Jiddin,32.994155,35.221993
Khirbat Jubara,32.268096,35.035564
Khirbat Karraza,32.911696,35.564125
Khirbat Khisas,31.648639,34.561662
Khirbat Khresh,32.14175,34.971459
Khirbat Lid,32.613809,35.222902
Khirbat Mismar,32.055539,35.004828
Khirbat Qeis,32.062146,35.17714
Khirbat Qumbaza,32.632446,35.026906
Khirbat Ras 'Ali,32.772245,35.155476
Khirbat Sa'sa',32.775083,35.131457
Khirbat Sir,32.197025,35.060861
Khirbat Umm Burj,31.63579,34.969118
Khirbat Umm Sabuna,32.585598,35.541681
Khirbat Zakariyya,31.937821,34.969594
Khirbat Zalafa,32.403918,34.942448
Khirbat Zubala (Al Huzaiyil),31.410854,34.750107
Khiyam Al Walid,33.143519,35.654346
Khubbayza,32.555716,35.066616
Khulda,31.819502,34.90364
Kifl Harith,32.118227,35.156821
Kinneret (Moshava),32.723783,35.56669
Kinneret (Qevuza),32.713825,35.563301
Kirad Al Baqqara,33.01873,35.602772
Kirad Al Ghannama,33.022946,35.587964
Kisan,31.61035,35.223565
Kisra-Sumei,32.961948,35.303011
Kudna,31.645981,34.895145
Kufayr,32.371549,35.341331
Kufeirat,32.443932,35.20199
Kur,32.235095,35.097474
Kuwaykat,32.971051,35.147834
Lazzaza,33.206744,35.612267
Lifta,31.79743,35.196205
Lubban Al Sharqiyya,32.071962,35.241671
Lubya,32.776115,35.42816
Lydda,31.954554,34.900155
Ma'ale HaHamisha,31.818498,35.111618
Ma'alul,32.697049,35.241571
Ma'barot,32.364417,34.905952
Ma'dhar,32.693155,35.464232
Ma'oz Hayyim,32.49297,35.55077
Ma'yan Zevi,32.56873,34.941196
Madahil,33.205314,35.642669
Madama,32.18548,35.230963
Maghar,32.889987,35.404063
Mahanayim,32.990334,35.569539
Mahane Yisrael,32.644272,35.34375
Majd Al Kurum,32.920434,35.252547
Majdal Bani Fadil,32.083434,35.363676
Majdal Yaba,32.08145,34.956983
Makr,32.934105,35.139372
Mallaha,33.090543,35.582634
Manshiyyat Samakh,32.693088,35.559109
Mansurat Al Khayt,32.971641,35.615934
Maqura,32.638739,35.005028
Marah Ma'alla,31.650452,35.175791
Marah Rabah,31.634464,35.187913
Marda,32.113606,35.19621
Marus,33.028764,35.528488
Mas-ha,32.108179,35.051576
Mash-had,32.739463,35.324174
Masil Al Jizl,32.45555,35.557797
Massada,32.683125,35.598666
Mazari' Al Nubani,32.049127,35.166679
Mazkeret Batya,31.854573,34.838646
Mazzuva,33.06367,35.15711
Me'ir Shefeya,32.589685,34.972577
Meiser,32.444619,35.042671
Meithalun,32.347832,35.273047
Menahemya,32.663852,35.556789
Menara,33.1963,35.54461
Merhavya (Moshav),32.601301,35.316084
Merhavya (Qibbuz),32.605789,35.309202
Mesillot,32.4955,35.475307
Metula,33.279812,35.578873
Mi'ar,32.875426,35.247252
Mi'ilya,33.024447,35.260668
Midya,31.935297,35.004867
Migdal,32.83924,35.506321
Miqwe Yisra'el,32.031891,34.783226
Mirka,32.396339,35.238166
Mirun,32.982043,35.439089
Mishmar HaEmeq,32.610928,35.142356
Mishmarot,32.48667,34.98442
Misilya,32.385749,35.286989
Miska,32.217317,34.924231
Mizpa,32.789649,35.508127
Mizra,32.651691,35.287419
Moledet,32.587871,35.432676
Mount Tabour,32.686451,35.390811
Moza Illit,31.79382,35.15767
Mughallis,31.72938,34.882858
Mughr Al Druz,33.03,35.5598
Mughr Al Khayt,32.989045,35.539756
Mukhmas,31.873632,35.276806
Muqeibila,32.514288,35.295205
Muzayri'a,32.049179,34.950623
Na'an,31.88354,34.85777
Na'in,32.629588,35.349189
Na'ura,32.615561,35.393037
Nabi Musa,31.786419,35.431422
Nabi Thari,32.067245,34.924783
Nablus,32.218567,35.263853
Nahalal,32.69038,35.19677
Nahalin,31.683915,35.117309
Nahariyya,33.007112,35.092779
Nahf,32.935945,35.316697
Najd,31.553006,34.59686
Nasir Al Din,32.780373,35.525329
Nazareth,32.703194,35.296993
Nazla,31.530711,34.481553
Nazla Al Gharbiyya,32.40281,35.084515
Nazla Al Sharqiyya,32.411522,35.10775
Nazla Al Wusta,32.408147,35.096582
Nazlat 'Isa,32.416118,35.055511
Nazlat Abu Nar,32.406445,35.07414
Nazlat ash Sheikh,32.462394,35.175509
Negba,31.662153,34.68368
Nes Ziyyona,31.926664,34.796069
Nesher,32.76481,35.051545
Neta'im,31.9448,34.77568
Netanya,32.329803,34.853854
Neve Yaakov,31.836865,35.23087
Newe Etan,32.49202,35.53194
Ni'ilya,31.646136,34.572403
Ni'lin,31.9469,35.022436
Nidf Jubeil,32.283061,35.220163
Nimrin,32.804043,35.426006
Nir Am,31.52035,34.580836
Nir Dawid (Tel Amal),32.504568,35.457196
Nitaf,31.837366,35.066722
Nseirat (Hanajreh),31.410428,34.412672
Nu'eima,31.890334,35.433943
Nuba,31.607242,35.036166
Nuris,32.533957,35.361614
Nutush,31.332709,34.744825
Odala,32.15236,35.276186
Pardes Hanna-Karkur,32.478264,34.971186
Pardesiyya,32.302762,34.911813
Petah Tiqwa,32.090209,34.883294
Qabalan,32.104146,35.289175
Qabatiya,32.409689,35.28115
Qabba'a,32.999076,35.537529
Qadas,33.113142,35.527914
Qaddita,33.004816,35.467972
Qadima-Zoran,32.282571,34.914948
Qaffin,32.43315,35.083594
Qalandiya,31.862643,35.206921
Qalansuwa,32.284399,34.981225
Qalqas,31.493808,35.092863
Qalqilya,32.188981,34.96328
Qalunya,31.79662,35.163641
Qannir,32.528304,35.03112
Qaqun,32.360258,34.994539
Qarawar Bani Hasan,32.128917,35.099482
Qarawat Bani Zeid,32.053143,35.127074
Qaryut,32.070515,35.293829
Qastina,31.739026,34.761904
Qatamon,31.763316,35.209621
Qatanna,31.826727,35.107711
Qatra,31.821944,34.778152
Qaytiyya,33.200133,35.614425
Qazaza,31.779051,34.876137
Qevuzat Yavne,31.81537,34.71988
Qibya,31.977559,35.010814
"Qira, Nablus",32.122249,35.171556
"Qira, Haifa",32.645161,35.103046
Qiryat Anavim,31.810475,35.121032
Qiryat Atta,32.809842,35.1033
Qiryat Bialik,32.824085,35.082979
Qiryat Motzkin,32.828517,35.072252
Qiryat Ono,32.06075,34.8571
Qiryat Shelomo,32.233392,34.865812
Qiryat Tiv'on (Qiryat Amal),32.711201,35.124745
Qisarya,32.502329,34.892349
Qla'a Zeta,31.559064,35.123978
Qula,32.037573,34.955126
Qumya,32.565374,35.394997
Qusin,32.239029,35.182419
Qusra,32.085371,35.330225
Ra'anana,32.181078,34.872458
Ra'na,31.665745,34.878344
Raba,32.386628,35.385105
Rafah,31.297493,34.24359
Bir Rafat,31.774488,34.959308
"Rafat, Nablus",32.077937,35.043738
"Rafat, Jerusalem",31.870983,35.192545
Rafidiya,32.223493,35.236608
Ramallah,31.90432,35.196149
Ramat David,32.678286,35.203816
Ramat Gan,32.082234,34.811683
Ramat HaKovesh,32.21758,34.93819
Ramat HaSharon,32.14424,34.843888
Ramat Rahel,31.737505,35.218267
Ramat Yishay (Jeida),32.702451,35.167066
Ramat Yohanan,32.792714,35.121325
Ramin,32.283965,35.14909
Raml Zeita,32.423878,34.955246
Ramle,31.925447,34.872346
Rammun,31.92868,35.299566
Ramot HaShavim,32.164688,34.884846
Rantis,32.027758,35.018593
Rantiya,32.044052,34.921465
Ras 'Atiya,32.158532,34.990649
Ras Abu Ammar,31.737789,35.092283
Ras al 'Ein,32.105125,34.930059
Ras at Tira,32.161692,35.010898
Ras Karkar,31.943652,35.103517
Rehovot,31.895252,34.811437
Rishon LeZiyyon,31.961976,34.807615
Rishpon,32.19887,34.82337
Rosh Pinna,32.969811,35.536408
Ruhama,31.4975,34.70532
Rujeib,32.189671,35.293111
"Rummana, Jenin",32.524297,35.205314
"Rummana, Nazareth",32.788189,35.311237
Sa'eer,31.584921,35.143984
Sa'sa',33.028907,35.394698
Sabalan,33.011611,35.341421
Sabastiyya,32.276464,35.195119
Sabbarin,32.57294,35.023344
Safad,32.966917,35.495151
Saffa,31.906882,35.058578
Saffarin,32.262512,35.111399
Safsaf,33.011504,35.44623
Safuriyya,32.751888,35.277792
Sajad,31.784213,34.892775
Sajur,32.94243,35.342274
Sakhnin,32.865307,35.29458
Salama,32.050026,34.80548
Salbit,31.869955,34.986693
Salfit,32.081456,35.178966
Saliha,33.075575,35.456221
"Salim, Nablus",32.208519,35.331232
Samakh,32.704916,35.589416
Sandala,32.523271,35.324307
Sanniriya,32.128882,35.047288
Sanur,32.355967,35.247471
Saqiya,32.028979,34.842864
Sar'a,31.77525,34.985668
Sarafand Al Kharab,31.936149,34.805627
Sarafand Amar,31.958073,34.849424
Sarid,32.662474,35.226144
Saris,31.79759,35.073588
Sarona,32.073563,34.78834
Sarra,32.21119,35.19245
Sarta,32.104042,35.090225
Sataf,31.769893,35.12688
Saydun,31.841523,34.904494
Sede Eliyyahu,32.4404,35.51378
Sede Nahum,32.524971,35.48018
Sede Nehemya (Huliyot),33.186915,35.622374
Sede Warburg,32.204167,34.907013
Sede Ya'aqov,32.697689,35.141123
Seida,32.385396,35.119078
Sha'ab,32.888994,35.242328
Sha'ar HaAmaqim,32.722499,35.109866
Sha'ar HaGolan,32.685622,35.603101
Shabtin,31.972441,35.050452
Shafa 'Amr,32.805046,35.16942
Shahma,31.822272,34.813442
Sharafat,31.743097,35.190033
Sharona,32.717466,35.469431
Shatta,32.552238,35.426387
Shave Ziyyon,32.982988,35.08443
She'ar Yashuv,33.22732,35.647389
Shefayim,32.218205,34.824361
Sheikh Dawud,32.994028,35.149494
Sheikh Nuran,31.300167,34.42752
Sheikh Saeed al Qurani,32.129973,34.787967
Shilta,31.917692,35.02044
Shu'fat,31.813691,35.227119
Shufa,32.275055,35.082101
Shuqba,31.985969,35.039255
Shuweika,32.336343,35.034986
Shuyukh al 'Arrub,31.61698,35.145464
Silat Al Dahr,32.319364,35.184564
Silat Al Harithiya,32.508084,35.227928
Silwad,31.987564,35.260333
Silwan,31.77199,35.237618
Simsim,31.56718,34.607369
Sinjil,32.034114,35.264474
Sir,32.363575,35.314994
Sirin,32.653588,35.504816
Siris,32.327592,35.290989
Suba,31.784887,35.125829
Sufla,31.735077,35.041302
Suhmata,33.006181,35.3031
Sulam,32.606025,35.33464
Summil,31.665313,34.794836
Sur Bahir,31.736501,35.23308
Surda,31.944155,35.205757
Surif,31.651949,35.063605
Suruh,33.085103,35.292513
Tabsur,32.193729,34.87859
Taffuh,31.53858,35.047291
Talfit,32.0871,35.291354
Tall,32.200678,35.212644
Tall Al Hunud,32.860271,35.532372
Tall Al Safi,31.702977,34.846173
Tall Al Shawk,32.495309,35.463708
Tall Al Turmus,31.725804,34.77301
Talluza,32.271083,35.294329
Tammun,32.282866,35.384698
"Tamra, Acre",32.850966,35.206318
"Tamra, Nazareth",32.634865,35.403228
Tarbikha,33.083067,35.285125
Tarqumiya,31.574787,35.012363
Tarshiha,33.010417,35.268444
Tayasir,32.341073,35.39654
Taytaba,33.013035,35.477266
Tayyiba,31.953833,35.299686
Tel Adashim,32.655447,35.30049
Tel Aviv,32.072886,34.768634
Tel Mond,32.248419,34.926773
Tel Yizhaq,32.253277,34.869884
Tel Yosef,32.55623,35.39961
Ti'innik,32.520047,35.219893
Tiberias,32.786895,35.541156
Tilfit,32.401127,35.340867
Tirat Zevi,32.421802,35.527687
Tuba,32.962699,35.610882
Tubas,32.321312,35.368353
Tulayl,33.051171,35.619782
Tulkarm,32.311643,35.026884
Tuqu',31.634277,35.211518
Tur'an,32.776418,35.37023
Tura al Gharbiya,32.468731,35.152868
Tura ash Sharqiya,32.466433,35.161751
Turmus 'Ayya,32.035539,35.285863
Umm Ajra,32.463412,35.523041
Umm Al Fahm,32.516348,35.152987
Umm Al Faraj,33.005299,35.121723
Umm Al Qutuf,32.467565,35.058932
Umm Al Shawf,32.553215,35.048483
Umm Al Tut,32.432155,35.344189
Umm Al Zinat,32.64744,35.064801
Umm ar Rihan,32.483748,35.141022
Umm Dar,32.45794,35.138335
Umm Kalkha,31.811844,34.854374
Umm Khalid,32.329465,34.865319
Umm Qubei (Khirbat Malta),32.711108,35.292286
Umm Safa,32.008847,35.165441
Umm Salamuna,31.645111,35.165995
Urif,32.159796,35.222491
Usarin,32.124866,35.310577
Usha,32.795065,35.115623
Uzeir,32.792644,35.330771
Wa'arat Al Sarris (Khirbat Qu'a),32.812823,35.11782
Wadi ad Dabi',32.453761,35.331869
Wadi Al Bira,32.621653,35.502124
Wadi Al Hamam,32.8278,35.4908
Wadi as Salqa,31.403541,34.341148
Wadi Fuqin,31.707786,35.103444
Wadi Haunayn,31.925829,34.791818
Wadi Rahhal,31.665185,35.168526
Waldheim (Umm Al 'Amad),32.730176,35.170942
Wilhelma,32.023284,34.911808
Wuhaidat (Tarabin),31.440488,34.455057
Ya'bad,32.446068,35.168906
Yabrud,31.977658,35.243289
Yafa,32.688301,35.275573
Yagur,32.74455,35.07611
Yajur,32.758807,35.057672
Yalu,31.841917,35.023684
Yamma,32.368957,35.031451
Yamun,32.484952,35.229853
Yanuh,32.983339,35.251491
Yanun,32.145277,35.355474
Yaquq,32.885461,35.479733
Yarda,33.007992,35.594105
Yarqona,32.146123,34.898273
Yasid,32.296502,35.278229
Yasuf,32.109621,35.237842
Yasur,31.766288,34.748482
Yatma,32.108501,35.268585
Yavne'el,32.703754,35.506106
Yazur,32.026368,34.804632
Yesud HaMa'ala,33.05815,35.611369
Yibna,31.865781,34.745681
Yirka,32.953825,35.212743
Yoqne'am (Moshava),32.649508,35.116209
Yubla,32.576623,35.469313
Za'tara,31.678365,35.256933
Zab'a,32.553703,35.548508
Zababida,32.385974,35.32424
Zakariyya,31.709221,34.945948
Zalafa,32.548951,35.182811
Zarnuqa,31.879478,34.788925
Zarzir,32.724733,35.222257
Zawata,32.246167,35.226919
"Zawiya, Nablus",32.096064,35.040074
"Zawiya, Jenin",32.376256,35.232667
"Zayta, Tulkarm",31.641011,34.824649
"Zayta, Nablus",32.137475,35.185591
"Zayta, Hebron",31.640407,34.823585
Zibda,32.450997,35.129322
Zikhron Ya'aqov,32.572527,34.95361
Zikrin,31.663084,34.86025
Zir'in,32.557839,35.326972
Zofit,32.19703,34.916501
Zububa,32.546133,35.223801
Zur Moshe,32.296955,34.91185
Aqada,32.542366,35.169923
Ara,32.504709,35.079864
Al Bayada,32.542366,35.169923
Al Bayar,32.51493,35.111999
Al Murtafi'a,32.545982,35.17697
Ein Ibrahim,32.535799,35.148138
Musmus,32.543622,35.155459
Musheirifa,32.553718,35.154033
"Salim, Jenin",32.540665,35.201204
